Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2005,SH_STA_STUNT,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2005,53.4
2011,SH_STA_STUNT,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2011,46.8
2016,SH_STA_STUNT,ET,_T,_T,_T,AGGA_01_02,_T,PT,0,N,2016,41.8
2000,SH_STA_STUNT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2000,54.4
2005,SH_STA_STUNT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2005,45.2
2011,SH_STA_STUNT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2011,41.7
2016,SH_STA_STUNT,ET,_T,_T,_T,AGG_1_2,_T,PT,0,N,2016,35.4
2000,SH_STA_STUNT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2000,36.9
2005,SH_STA_STUNT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2005,30.6
2011,SH_STA_STUNT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2011,20.2
2016,SH_STA_STUNT,ET,_T,_T,_T,AGG_2_3,_T,PT,0,N,2016,21.7
2000,SH_STA_STUNT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2000,20.6
2005,SH_STA_STUNT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2005,20.4
2011,SH_STA_STUNT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2011,19.5
2016,SH_STA_STUNT,ET,_T,_T,_T,AGG_5T8,_T,PT,0,N,2016,20.0
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2000,57.7
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2005,50.8
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2011,44.4
2016,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,_T,PT,0,N,2016,38.4
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2000,60.6
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2005,52.3
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2011,49.2
2016,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q1,PT,0,N,2016,44.6
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2000,59.9
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2005,55.3
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2011,47.7
2016,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q2,PT,0,N,2016,42.8
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2000,60.4
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2005,52.3
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2011,45.6
2016,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q3,PT,0,N,2016,37.9
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2000,56.7
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2005,51.4
2011,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2011,45.0
2016,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q4,PT,0,N,2016,35.4
2000,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2000,48.5
2005,SH_STA_STUNT,ET,_T,Y0T4,_T,_T,Q5,PT,0,N,2005,39.6
