Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2016,SH_STA_FGMS,ET,F,_T,_T,_T,_T,PT,0,N,2016,65.2
2000,SH_STA_FGMS,ET,F,Y15T49,_T,_T,_T,PT,0,N,2000,79.9
2005,SH_STA_FGMS,ET,F,Y15T49,_T,_T,_T,PT,0,N,2005,74.3
2016,SH_STA_FGMS,ET,F,Y15T49,_T,_T,_T,PT,0,N,2016,65.2
2016,SH_STA_FGMS,ET01,F,_T,_T,_T,_T,PT,0,N,2016,24.2
2016,SH_STA_FGMS,ET02,F,_T,_T,_T,_T,PT,0,N,2016,91.2
2016,SH_STA_FGMS,ET03,F,_T,_T,_T,_T,PT,0,N,2016,61.7
2016,SH_STA_FGMS,ET04,F,_T,_T,_T,_T,PT,0,N,2016,75.6
2016,SH_STA_FGMS,ET05,F,_T,_T,_T,_T,PT,0,N,2016,98.5
2016,SH_STA_FGMS,ET06,F,_T,_T,_T,_T,PT,0,N,2016,62.9
2016,SH_STA_FGMS,ET07,F,_T,_T,_T,_T,PT,0,N,2016,62.0
2016,SH_STA_FGMS,ET12,F,_T,_T,_T,_T,PT,0,N,2016,33.0
2016,SH_STA_FGMS,ET13,F,_T,_T,_T,_T,PT,0,N,2016,81.7
2016,SH_STA_FGMS,ET14,F,_T,_T,_T,_T,PT,0,N,2016,54.0
2016,SH_STA_FGMS,ET15,F,_T,_T,_T,_T,PT,0,N,2016,75.3
